id,manufacturer,dtc,description
479,cadillac,P1257,Supercharger System Overboost
480,cadillac,P1258,Engine Coolant Overtemperature - Protection Mode Active
481,cadillac,P1260,Last Test Failed Failed SCC ENTER:More Info.
482,cadillac,P1270,Accelerator Pedal Position Sensor A/D Converter Error
483,cadillac,P1271,Accelerator Pedal Position (APP) Sensor 1-2 Correlation
484,cadillac,P1272,Accelerator Pedal Position Sensor 2
485,cadillac,P1273,Accelerator Pedal Position Sensor 1
486,cadillac,P1274,Injectors Wired Incorrectly
487,cadillac,P1275,Accelerator Pedal Position (APP) Sensor 1 Circuit
488,cadillac,P1276,Accelerator Pedal Position Sensor 1 Circuit Performance
489,cadillac,P1277,Accelerator Pedal Position Sensor 1 Circuit Low Voltage
490,cadillac,P1278,Accelerator Pedal Position Sensor 1 Circuit High Voltage
491,cadillac,P1280,Accelerator Pedal Position (APP) Sensor 2 Circuit
492,cadillac,P1281,Accelerator Pedal Position Sensor 2 Circuit Performance
493,cadillac,P1282,Accelerator Pedal Position Sensor 2 Circuit Low Voltage
494,cadillac,P1283,Accelerator Pedal Position Sensor 2 Circuit High Voltage
495,cadillac,P1285,Accelerator Pedal Position Sensor 3 Circuit
496,cadillac,P1286,Accelerator Pedal Position Sensor 3 Circuit Performance
497,cadillac,P1287,Accelerator Pedal Position Sensor 3 Circuit Low Voltage
498,cadillac,P1288,Accelerator Pedal Position Sensor 3 Circuit High Voltage
499,cadillac,P1300,Ignitor Circuit
500,cadillac,P1305,Ignition Coil 2 Primary Feedback Circuit
501,cadillac,P1310,Ignition Coil 3 Primary Feedback Circuit
502,cadillac,P1315,Ignition Coil 4 Primary Feedback Circuit
503,cadillac,P1320,IC 4X Reference Circuit Intermittent
504,cadillac,P1321,Electronic Ignition System Fault Line
505,cadillac,P1322,EI System or Ignition Control Extra or Missing
506,cadillac,P1323,IC 24X Reference Circuit Low Frequency
507,cadillac,P1324,Crank RPM Too Low
508,cadillac,P1335,CKP Circuit
509,cadillac,P1336,Crankshaft Position (CKP) System Variation Not Learned
510,cadillac,P1345,Crankshaft Position (CKP)-Camshaft Position (CMP) Correlation
511,cadillac,P1346,Intake Camshaft Position [CMP] Sensor System Performance
512,cadillac,P1350,Ignition Control System
513,cadillac,P1351,Ignition Coil Control Circuit High Voltage
514,cadillac,P1352,IC Output High/Pulse Detected when GND_Cyl. 2
515,cadillac,P1353,IC Output High/Pulse Detected when GND_Cyl. 3
516,cadillac,P1354,IC Output High/Pulse Detected when GND_Cyl. 4
517,cadillac,P1355,IC Output High/Pulse Detected when GND_Cyl. 5
518,cadillac,P1356,IC Output High/Pulse Detected when GND_Cyl. 6
519,cadillac,P1357,IC Output High/Pulse Detected when GND_Cyl. 7
520,cadillac,P1358,IC Output High/Pulse Detected when GND_Cyl. 8
521,cadillac,P1359,Ignition Coil Group 1 Control Circuit
522,cadillac,P1360,Ignition Coil Group 2 Control Circuit
523,cadillac,P1361,Ignition Coil Control Circuit Low Voltage
524,cadillac,P1362,IC Cylinder 2 Not Toggling After Enable
525,cadillac,P1363,IC Cylinder 3 Not Toggling After Enable
526,cadillac,P1364,IC Cylinder 4 Not Toggling After Enable
527,cadillac,P1365,IC Cylinder 5 Not Toggling After Enable
528,cadillac,P1366,IC Cylinder 6 Not Toggling After Enable
529,cadillac,P1367,IC Cylinder 7 Not Toggling After Enable
530,cadillac,P1368,IC Cylinder 8 Not Toggling After Enable
531,cadillac,P1370,IC 4X Reference Circuit Too Many Pulses
532,cadillac,P1371,IC 4X Reference Circuit Too Few Pulses
533,cadillac,P1372,Crankshaft Position (CKP) Sensor A-B Correlation
534,cadillac,P1374,3X Reference Circuit
535,cadillac,P1375,IC 24X Reference Circuit High Voltage
536,cadillac,P1376,Ignition Ground Circuit
537,cadillac,P1377,IC Cam Pulse To 4X Reference Pulse
538,cadillac,P1380,Misfire Detected - Rough Road Data Not Available
539,cadillac,P1381,Misfire Detected - No Communication with Brake ControlModule
540,cadillac,P1390,Wheel Speed Sensor 1 - G - Sensor Circuit
541,cadillac,P1391,Wheel Speed Sensor 1 - G - Sensor Circuit Performance
542,cadillac,P1392,Wheel Speed Sensor 1 - G - Sensor Circuit Low Voltage
543,cadillac,P1393,Wheel Speed Sensor 1 - G - Sensor Circuit High Voltage
544,cadillac,P1394,Wheel Speed Sensor 1 - G - Sensor Circuit Intermittent
545,cadillac,P1395,Wheel Speed Sensor 2 - G - Sensor Circuit
546,cadillac,P1396,Wheel Speed Sensor 2 - G - Sensor Circuit Performance
547,cadillac,P1397,Wheel Speed Sensor 2 - G - Sensor Circuit Low Voltage
548,cadillac,P1398,Wheel Speed Sensor 2 - G - Sensor Circuit High Voltage
549,cadillac,P1399,Wheel Speed Sensor 2 - G - Sensor Circuit Intermittent
550,cadillac,P1403,Exhaust Gas Recirculation System Valve 1
551,cadillac,P1404,Exhaust Gas Recirculation (EGR) Closed PositionPerformance
552,cadillac,P1405,Exhaust Gas Recirculation System Valve 3
553,cadillac,P1406,EGR Valve Pintle Position Circuit
554,cadillac,P1407,EGR Air Intrusion in Exhaust Supply to EGR Valve
555,cadillac,P1408,Intake Manifold Pressure Sensor Circuit
556,cadillac,P1409,EGR Vacuum System Leak
557,cadillac,P1410,Fuel Tank Pressure System
558,cadillac,P1415,Secondary Air Injection (AIR) System Bank 1
559,cadillac,P1416,Secondary Air Injection (AIR) System Bank 2
560,cadillac,P1418,Secondary Air Injection System Relay A Control CircuitHigh
561,cadillac,P1420,Intake Air Low Pressure Switch Circuit Low Voltage
562,cadillac,P1421,Intake Air Low Pressure Switch Circuit High Voltage
563,cadillac,P1423,Intake Air High Pressure Switch Circuit High Voltage
564,cadillac,P1431,Fuel Level Sensor 2 Circuit Performance
565,cadillac,P1432,Fuel Level Sensor 2 Circuit Low Voltage
566,cadillac,P1433,Fuel Level Sensor 2 Circuit High Voltage
567,cadillac,P1441,Evaporative Emission (EVAP) System Flow During Non-Purge
568,cadillac,P1442,EVAP Vacuum Sw. High Voltage During Ign. On
569,cadillac,P1450,Barometric Pressure Sensor Circuit
570,cadillac,P1451,Barometric Press. Sensor Performance
571,cadillac,P1480,Cooling Fan 1 Control Circuit High
572,cadillac,P1483,Engine Cooling System Performance
573,cadillac,P1500,Starter Signal Circuit
574,cadillac,P1502,Theft Deterrent Fuel Enable Signal Not Received
575,cadillac,P1503,Theft Deterrent Fuel Enable Signal Not Correct
576,cadillac,P1504,Vehicle Speed Output Circuit
577,cadillac,P1508,Idle Speed Low - Idle Air Control (IAC) System NotResponding
578,cadillac,P1509,Idle Speed High - Idle Air Control (IAC) System NotResponding
579,cadillac,P1510,Throttle Control System Performance - Throttle LimitationActive
580,cadillac,P1511,Throttle Control System - Backup System Performance
581,cadillac,P1514,Airflow to TP Sensor Correlation High
582,cadillac,P1515,Electronic Throttle System Throttle Position
583,cadillac,P1516,Throttle Actuator Control (TAC) Module Throttle ActuatorPosition Performance
584,cadillac,P1517,Electronic Throttle Module
585,cadillac,P1518,Electronic Throttle Module to PCM Communication
586,cadillac,P1519,Throttle Actuator Control (TAC) Module Internal Circuit
587,cadillac,P1520,Transmission Range Switch Circuit
588,cadillac,P1521,Transmission Engaged at High Throttle Angle
589,cadillac,P1522,Park/Neutral to Drive/Reverse at High RPM
590,cadillac,P1523,Throttle Closed Position Performance
591,cadillac,P1524,Throttle Closed Position Performance
592,cadillac,P1525,Throttle Body ServiceRequired
593,cadillac,P1526,Minimum Throttle Position Not Learned
594,cadillac,P1527,Transmission Range to Pressure Switch Correlation
595,cadillac,P1528,Governor
596,cadillac,P1529,Heated Windshield Request Problem
597,cadillac,P1530,Throttle Actuator Control (TAC) Module Internal Circuit
598,cadillac,P1531,A/C Low Side Temperature Sensor Fault
599,cadillac,P1532,A/C Evaporator Temp. Sens. Ckt. Low Voltage
600,cadillac,P1533,A/C Evaporator Temp. Sens. Ckt. High Voltage
601,cadillac,P1534,A/C High Side Temp. Sensor Low Voltage
602,cadillac,P1535,A/C High Side Temperature Sensor Circuit
603,cadillac,P1536,Engine Coolant Overtemperature - Air Conditioning (A/C)Disabled
604,cadillac,P1537,A/C Request Circuit Low Voltage
605,cadillac,P1538,A/C Request Circuit High Voltage
606,cadillac,P1539,A/C Clutch Status Circuit High Voltage
607,cadillac,P1540,Air Conditioning (A/C) Refrigerant Overpressure - AirConditioning (A/C) Disabled
608,cadillac,P1541,A/C High Side Over Temperature
609,cadillac,P1542,A/C System High Pressure High Temperature
610,cadillac,P1543,A/C System Performance
611,cadillac,P1544,A/C Refrigerant Condition Very Low
612,cadillac,P1545,Air Conditioning (A/C) Clutch Relay Control Circuit
613,cadillac,P1546,A/C Clutch Status Circuit Low Voltage
614,cadillac,P1547,A/C System Performance Degraded
615,cadillac,P1548,A/C Recirculation Circuit
616,cadillac,P1554,Cruise Control Feedback Circuit
617,cadillac,P1555,Electronic Variable Orifice Output
618,cadillac,P1558,Cruise Control Servo Indicates Low
619,cadillac,P1559,Cruise Control Power Management Mode
620,cadillac,P1560,Transaxle Not in Drive - Cruise Control Disabled
621,cadillac,P1561,Cruise Vent Solenoid
622,cadillac,P1562,Cruise Vacuum Solenoid
623,cadillac,P1563,Cruise Vehicle Speed/Set Speed Difference Too High
624,cadillac,P1564,Vehicle Acceleration Too High - Cruise Control Disabled
625,cadillac,P1565,Cruise Servo Position Sensor
626,cadillac,P1566,Engine RPM Too High - Cruise Control Disabled
627,cadillac,P1567,Active Banking Control Active - Cruise Control Disabled
628,cadillac,P1568,Cruise Servo Stroke Greater than Commanded in Cruise
629,cadillac,P1569,Cruise Servo Stroke High While not in Cruise
630,cadillac,P1570,Traction Control Active - Cruise Control Disabled
631,cadillac,P1571,Traction Control Torque Request Circuit
632,cadillac,P1572,ASR Active Circuit Low Too Long
633,cadillac,P1573,PCM/EBTCM Serial Data Circuit
634,cadillac,P1574,Stoplamp Switch Circuit
635,cadillac,P1575,Extended Travel Brake Switch Circuit
636,cadillac,P1576,BBV Sensor Ckt. High Voltage
637,cadillac,P1577,BBV Sensor Ckt. Low Voltage
638,cadillac,P1578,BBV Sensor Ckt. Low Vacuum
639,cadillac,P1579,P/N to D/R at High Throttle Angle - Power Reduction ModeActive
640,cadillac,P1580,Cruise Move Circuit Low Voltage
641,cadillac,P1581,Cruise Move Circuit High Voltage
642,cadillac,P1582,Cruise Direction Circuit Low Voltage
643,cadillac,P1583,Cruise Direction CircuitHigh Voltage
644,cadillac,P1584,Cruise Control Disabled
645,cadillac,P1585,Cruise Control Inhibit Output Circuit
646,cadillac,P1586,Cruise Control Brake Switch 2 Circuit
647,cadillac,P1587,Cruise Control Clutch Control Circuit Low
648,cadillac,P1588,Cruise Control Clutch Control Circuit High
649,cadillac,P1599,Engine Stall or Near Stall Detected
650,cadillac,P1600,TCM Internal Watchdog Operation
651,cadillac,P1601,Serial Comm. Problem With Device 1
652,cadillac,P1602,Knock Sensor (KS) Module Performance
653,cadillac,P1603,Loss of SDM Serial Data
654,cadillac,P1604,Loss of IPC Serial Data
655,cadillac,P1605,Loss of HVAC Serial Data
656,cadillac,P1606,Serial Communication Problem With Device 6
657,cadillac,P1607,Serial Communication Problem With Device 7
658,cadillac,P1608,Serial Communication Problem With Device 8
659,cadillac,P1609,Loss Of TCS Serial Data
660,cadillac,P1610,Loss of PZM Serial Data
661,cadillac,P1611,Loss of CVRTD Serial Data
662,cadillac,P1612,Loss of IPM Serial Data
663,cadillac,P1613,Loss of DIM Serial Data
664,cadillac,P1614,Loss of RIM Serial Data
665,cadillac,P1615,Loss of VTD Serial Data
666,cadillac,P1617,Engine Oil Level Switch Circuit
667,cadillac,P1619,Engine Oil Life Monitor Reset Circuit
668,cadillac,P1620,Low Coolant Circuit
669,cadillac,P1621,Control Module Long Term Memory Performance
670,cadillac,P1622,Cylinder Select
671,cadillac,P1623,Transmission Temp Pull-Up Resistor
672,cadillac,P1624,Customer Snapshot Requested - Data Available
673,cadillac,P1625,TCM System Reset
674,cadillac,P1626,Theft Deterrent Fuel Enable Signal Not Received
675,cadillac,P1627,A/D Performance
676,cadillac,P1628,ECT Pull-Up Resistor
677,cadillac,P1629,Theft Deterrent System - Cranking Signal
678,cadillac,P1630,Theft Deterrent Learn Mode Active
679,cadillac,P1631,Theft Deterrent Start Enable Signal Not Correct
680,cadillac,P1632,Theft Deterrent Fuel Disable Signal Received
681,cadillac,P1633,Ignition 0 Switch Circuit
682,cadillac,P1634,Ignition 1 Switch Circuit
683,cadillac,P1635,5 Volt Reference Circuit
684,cadillac,P1636,PCM Stack Overrun
685,cadillac,P1637,Generator L-Terminal Circuit
686,cadillac,P1638,Generator F-Terminal Circuit
687,cadillac,P1639,5 Volt Reference 2 Circuit
688,cadillac,P1640,Driver-1-Input High Voltage
689,cadillac,P1641,Malfunction Indicator Lamp (MIL) Control Circuit
690,cadillac,P1642,Vehicle Speed Output Circuit
691,cadillac,P1643,Engine Speed Output Circuit
692,cadillac,P1644,Traction Control Delivered Torque Output Circuit
693,cadillac,P1645,Evaporative Emission (EVAP) Vent Solenoid Contorl Circuit
694,cadillac,P1646,Evaporative Emission (EVAP) Vent Solenoid Control Circuit
695,cadillac,P1647,Driver 1 Line 7
696,cadillac,P1650,Control Module Output B Circuit
697,cadillac,P1651,Fan 1 Relay Control Circuit
698,cadillac,P1652,Powertrain Induced Chassis Pitch Output Circuit
699,cadillac,P1653,Oil Level Lamp Control Circuit
700,cadillac,P1654,Cruise Control Inhibit Output Circuit
701,cadillac,P1655,EVAP Purge Solenoid Control Circuit
702,cadillac,P1656,Driver 2 Line 6
703,cadillac,P1657,1-4 Upshift Solenoid Control Circuit
704,cadillac,P1658,Starter Enable Relay Control Circuit
705,cadillac,P1660,Cooling Fan Control Circuits
706,cadillac,P1661,MIL Control Circuit
707,cadillac,P1662,Cruise Lamp Control Circuit
708,cadillac,P1663,Oil Life Lamp Control Circuit
709,cadillac,P1664,1-4 Upshift Lamp Control Circuit
710,cadillac,P1665,Driver 3 Line 5
711,cadillac,P1666,Driver 3 Line 6
712,cadillac,P1667,Reverse Inhibit Solenoid Control Circuit
713,cadillac,P1669,ABS Unit Expected
714,cadillac,P1670,Driver 4
715,cadillac,P1671,Driver 4 Line 1
716,cadillac,P1672,Low Engine Oil Level Lamp Control Circuit
717,cadillac,P1673,Engine Hot Lamp Control Circuit
718,cadillac,P1674,Tachometer Control Circuit
719,cadillac,P1675,EVAP Vent Solenoid Control Circuit
720,cadillac,P1676,Driver 4 Line 6
721,cadillac,P1677,Driver 4 Line 7
722,cadillac,P1680,Driver 5
723,cadillac,P1681,Driver 5 Line 1
724,cadillac,P1682,Driver 5 Line 2
725,cadillac,P1683,Driver 5 Line 3
726,cadillac,P1684,Driver 5 Line 4
727,cadillac,P1685,Driver 5 Line 5
728,cadillac,P1686,Driver 5 Line 6
729,cadillac,P1687,Driver 5 Line 7
730,cadillac,P1689,Delivered Torque Circuit Fault
731,cadillac,P1690,ECM Loop Overrun
732,cadillac,P1691,Coolant Gage Circuit Low Voltage
733,cadillac,P1692,Coolant Gage Circuit High Voltage
734,cadillac,P1693,Tachometer Circuit Low Voltage
735,cadillac,P1694,Tachometer Circuit High Voltage
736,cadillac,P1695,Remote Keyless Entry Circuit Low
737,cadillac,P1696,Remote Keyless Entry Voltage High
738,cadillac,P1700,Transmission Control Module (TCM) Requested MILIllumination
739,cadillac,P1701,Trans. MIL Request Circuit
740,cadillac,P1705,P/N Signal Output Circuit
741,cadillac,P1740,Torque Reduction Signal Circuit
742,cadillac,P1743,TP Signal from ECM
743,cadillac,P1760,TCM Supply Voltage Interrupted
744,cadillac,P1779,Engine Torque Delivered to TCM Signal
745,cadillac,P1780,Park/Neutral Position [PNP] Switch Circuit
746,cadillac,P1781,Engine Torque Signal Circuit
747,cadillac,P1790,Transmission Control Module Checksum
748,cadillac,P1791,Transmission Control Module Loop
749,cadillac,P1793,Transmission Control Module Stack Overrun
750,cadillac,P1795,CAN Bus - Throttle Body Position
751,cadillac,P1800,TCM Power Relay Control Circuit
752,cadillac,P1801,Performance Selector Switch Failure
753,cadillac,P1804,Ground Control Relay
754,cadillac,P1810,TFP Valve Position Switch Circuit
755,cadillac,P1811,Maximum Adapt and Long Shift
756,cadillac,P1812,Transmission Over Temperature Condition
757,cadillac,P1813,Torque Control
758,cadillac,P1814,Torque Converter Overstressed
759,cadillac,P1815,Transmission Range Switch - Start In Wrong Range
760,cadillac,P1816,TFP Valve Position Sw. - Park/Neu. With Drive Ratio
761,cadillac,P1817,TFP Valve Position Sw. - Reverse With Drive Ratio
762,cadillac,P1818,TFP Valve Position Sw. - Drive Without Drive Ratio
763,cadillac,P1819,Internal Mode Switch - No Start/Wrong Range
764,cadillac,P1820,Internal Mode Switch Circuit A Low
765,cadillac,P1822,Internal Mode Switch Circuit B High
766,cadillac,P1823,Internal Mode Switch Circuit P Low
767,cadillac,P1825,Internal Mode Switch - Invalid Range
768,cadillac,P1826,Internal Mode Switch Circuit C - High
769,cadillac,P1831,PC Solenoid Power Circuit - Low Voltage
770,cadillac,P1833,A/T Solenoids Power Circuit - Low Voltage
771,cadillac,P1835,Kick-Down Switch Circuit
772,cadillac,P1836,Kick-Down Switch Failed Open
773,cadillac,P1837,Kick-Down Switch Failed Short
774,cadillac,P1842,1-2 Shift Solenoid Circuit Low Voltage
775,cadillac,P1843,1-2 Shift Solenoid Circuit High Voltage
776,cadillac,P1844,Torque Reduction Signal Circuit Desired By TCM
777,cadillac,P1845,2-3 Shift Solenoid Circuit Low Voltage
778,cadillac,P1847,2-3 Shift Solenoid Circuit High Voltage
779,cadillac,P1850,Brake Band Apply Solenoid Circuit
780,cadillac,P1851,Brake Band Apply Solenoid Performance
781,cadillac,P1852,Brake Band Apply SolenoidLow Voltage
782,cadillac,P1853,Brake Band Apply Solenoid High Voltage
783,cadillac,P1860,TCC PWM Solenoid Circuit Electrical
784,cadillac,P1864,Torque Converter Clutch Circuit
785,cadillac,P1868,Transmission Fluid Life
786,cadillac,P1870,Transmission Component Slipping
787,cadillac,P1871,Undefined Gear Ratio
788,cadillac,P1873,TCC Stator Temp. Switch Circuit Low
789,cadillac,P1874,TCC Stator Temp. Switch Circuit High
790,cadillac,P1875,4WD Low Switch Circuit Electrical
791,cadillac,P1884,TCC Enable/Shift Light Circuit
792,cadillac,P1886,Shift Timing Solenoid
793,cadillac,P1887,TCC Release Switch Circuit
794,cadillac,P1891,Throttle Position Sensor PWM Signal Low
795,cadillac,P1892,Throttle Position Sensor PWM Signal High
796,cadillac,P1893,Engine Torque Signal Low Voltage
797,cadillac,P1894,Engine Torque Signal High Voltage
798,cadillac,P1895,TCM to ECM Torque Reduction Circuit
799,chevorlet,P1031,HO2S Heater Current Monitor Control Circuit Banks 1 and 2 Sensor 1
800,chevorlet,P1032,HO2S Heater Warm Up Control Circuit Banks 1 and 2 Sensor 1
801,chevorlet,P1105,Secondary Vacuum Sensor Circuit
802,chevorlet,P1106,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage
803,chevorlet,P1107,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage
804,chevorlet,P1108,BARO to MAP Sensor Comparison Too High
805,chevorlet,P1109,Secondary Port Throttle System
806,chevorlet,P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage
